A.3.2.99.0.32.0.0.6,gem150 (192.168.207.150),Freeze, 2017-09-27 22:00:00-04,See 192.168.207.150_270917_1506564062249.png capture for details.This error is related with CR 17702,Wed Sep 27 21:39
A.3.2.99.0.32.0.0.5,GEM157 (192.168.207.157),Freeze, 2017-09-27 22:00:00-04,See 192.168.207.157_270917_1506564061744.png capture for details.This error is related with CR 17702,Wed Sep 27 21:39
A.3.2.99.0.32.0.0.6,GEM154 ( 192.168.207.154),3206 Error,2017-09-27 13:03:03,Unknown error or wrong error pattern.,Wed Sep 27 21:38
A.3.2.99.0.32.0.0.6,gem150 ( 192.168.207.150),3206 Error,2017-09-27 20:42:05,Unknown error or wrong error pattern.,Wed Sep 27 21:39
A.3.2.99.0.32.0.0.5,GEM157 ( 192.168.207.157),3206 Error,2017-09-27 22:04:58,Unknown error or wrong error pattern.,Wed Sep 27 21:39
A.3.2.99.0.32.0.0.6,GEM154 ( 192.168.207.154),3206 Error,2017-09-27 13:03:03,Unknown error or wrong error pattern.,Wed Sep 27 22:01
A.3.2.99.0.32.0.0.6,gem150 ( 192.168.207.150),3206 Error,2017-09-27 20:42:05,Unknown error or wrong error pattern.,Wed Sep 27 22:01
A.3.2.99.0.32.0.0.5,GEM157 ( 192.168.207.157),3206 Error,2017-09-27 22:04:58,Unknown error or wrong error pattern.,Wed Sep 27 22:02
A.3.2.99.0.32.0.0.6,GEM154 (192.168.207.154),Freeze, 2017-09-27 23:00:00-04,See 192.168.207.154_270917_1506567661529.png capture for details.This error is related with CR 17702,Wed Sep 27 22:38
A.3.2.99.0.32.0.0.6,gem150 (192.168.207.150),Freeze, 2017-09-27 23:00:00-04,See 192.168.207.150_270917_1506567661348.png capture for details.This error is related with CR 17702,Wed Sep 27 22:39
A.3.2.99.0.32.0.0.5,GEM157 (192.168.207.157),Freeze, 2017-09-27 23:00:00-04,See 192.168.207.157_270917_1506567661729.png capture for details.This error is related with CR 17702,Wed Sep 27 22:39
A.3.2.99.0.32.0.0.6,GEM154 ( 192.168.207.154),3206 Error,2017-09-27 13:03:03,Unknown error or wrong error pattern.,Wed Sep 27 22:38
A.3.2.99.0.32.0.0.6,gem150 ( 192.168.207.150),3206 Error,2017-09-27 20:42:05,Unknown error or wrong error pattern.,Wed Sep 27 22:39
A.3.2.99.0.32.0.0.5,GEM157 ( 192.168.207.157),3206 Error,2017-09-27 22:04:58,Unknown error or wrong error pattern.,Wed Sep 27 22:39
A.3.2.99.0.32.0.0.6,GEM154 ( 192.168.207.154),3206 Error,2017-09-27 13:03:03,Unknown error or wrong error pattern.,Wed Sep 27 23:01
A.3.2.99.0.32.0.0.6,gem150 ( 192.168.207.150),3206 Error,2017-09-27 20:42:05,Unknown error or wrong error pattern.,Wed Sep 27 23:02
A.3.2.99.0.32.0.0.5,GEM157 ( 192.168.207.157),3206 Error,2017-09-27 23:42:34,Unknown error or wrong error pattern.,Wed Sep 27 23:02
