A.3.2.99.0.32.0.0.6,gwp102 (192.168.226.102),Freeze, 2017-09-28 17:00:00-04,See 192.168.226.102_280917_1506632461640.png capture for details.This error is related with CR 17702,Wed Sep 27 16:10
A.3.2.99.0.32.0.0.6,gwp102 (192.168.226.102),Freeze, 2017-09-28 19:00:00-04,See 192.168.226.102_280917_1506639661247.png capture for details.This error is related with CR 17702,Thu Sep 28 17:02
A.3.2.99.0.32.0.0.6,gwp102 ( 192.168.226.102),3206 Error,2017-09-28 19:42:19,Unknown error or wrong error pattern.,Thu Sep 28 19:02
A.3.2.99.0.32.0.0.6,gwp102 (192.168.226.102),Freeze, 2017-09-28 20:00:00-04,See 192.168.226.102_280917_1506643262530.png capture for details.This error is related with CR 17702,Thu Sep 28 19:39
A.3.2.99.0.32.0.0.6,gwp102 ( 192.168.226.102),3206 Error,2017-09-28 19:42:19,Unknown error or wrong error pattern.,Thu Sep 28 19:39
A.3.2.99.0.32.0.0.6,gwp102 ( 192.168.226.102),3206 Error,2017-09-28 19:42:19,Unknown error or wrong error pattern.,Thu Sep 28 20:02
A.3.2.99.0.32.0.0.6,gwp102 (192.168.226.102),Freeze, 2017-09-28 21:00:00-04,See 192.168.226.102_280917_1506646861565.png capture for details.This error is related with CR 17702,Thu Sep 28 20:39
A.3.2.99.0.32.0.0.6,gwp102 ( 192.168.226.102),3206 Error,2017-09-28 19:42:19,Unknown error or wrong error pattern.,Thu Sep 28 20:39
A.3.2.99.0.32.0.0.6,gwp102 ( 192.168.226.102),3206 Error,2017-09-28 19:42:19,Unknown error or wrong error pattern.,Thu Sep 28 21:02
A.3.2.99.0.32.0.0.6,gwp102 (192.168.226.102),Freeze, 2017-09-28 22:00:00-04,See 192.168.226.102_280917_1506650462381.png capture for details.This error is related with CR 17702,Thu Sep 28 21:39
A.3.2.99.0.32.0.0.6,gwp102 ( 192.168.226.102),3206 Error,2017-09-28 19:42:19,Unknown error or wrong error pattern.,Thu Sep 28 21:39
A.3.2.99.0.32.0.0.6,gwp102 ( 192.168.226.102),3206 Error,2017-09-28 19:42:19,Unknown error or wrong error pattern.,Thu Sep 28 22:02
A.3.2.99.0.32.0.0.6,gwp102 (192.168.226.102),Freeze, 2017-09-28 23:00:00-04,See 192.168.226.102_280917_1506654061473.png capture for details.This error is related with CR 17702,Thu Sep 28 22:39
A.3.2.99.0.32.0.0.6,gwp102 ( 192.168.226.102),3206 Error,2017-09-28 19:42:19,Unknown error or wrong error pattern.,Thu Sep 28 22:39
A.3.2.99.0.32.0.0.6,gwp102 ( 192.168.226.102),3206 Error,2017-09-28 19:42:19,Unknown error or wrong error pattern.,Thu Sep 28 23:02
